Peak,Secondary Peak,Route Name,Climb Grade,Elevation Gain,Driving Distance (Miles),Driving Time (Hours),Typical Duration,Typical Season,Glaciated Peak,Rock Skills Required,Snow Angle,Rappelling Required,Crevasse Rescue Skills Required,Typical Gear,Notes,Guide Books,Phone Numbers
Diamond Peak,,North Ridge,,3100,180,3.5,1,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,This is a walk up peak with no minimal technical climbing skills needed. There is some 3rd class climbing along a moderately exposed ridge near the top.  Attention telemark skiers: This is one of the best backcountry ski descents in the state in early season!,Climbers Guide to Oregon by Nicholas Dodge,
Diamond Peak,,South Ridge,A,3100,180,3.5,1,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,This is a walk up peak with no minimal technical climbing skills needed. There is some 3rd class climbing along a moderately exposed ridge near the top.  Attention telemark skiers: This is one of the best backcountry ski descents in the state in early season!,Climbers Guide to Oregon by Nicholas Dodge,
Disappointment Peak,,Irene's Arete,E,5000,,,2,summerautumn,TRUE,5,,TRUE,FALSE,Rock,"Named for the Tetons legend Irene Beardsley, Irenes was first climbed in 1957 by Beardsley and John Dietschy. To get there, start at Lupine Meadows, following signs to Garnet Canyon and then the Upper Saddle, reaching the Petzoldt Caves after approximately five miles. Look on the south-facing slope for a faint trail that doubles back over the Southwest Couloir and into a treed area, and then wind your way to a cliff band and a prominent pedestal. To begin the 5.7 first pitch, either step across onto the pedestal or launch rightward up and over the crest, climbing discontinuous cracks to a small alcove where the variations reunite.The second and third pitches go at 5.7 to 5.9", AClimbers Guide to the Teton Range  (3rd Edition; 1996) by Leigh N. Ortenburger and Reynold G. Jackson Teton Classics (1994) by Richard Rossiter,"Local gear shopsMoosely Seconds Mountaineering: (307) 739-1801; Skinny Skis: (888) 733-7205, skinnyskis.com; Teton Mountaineering: (800) 850-3595, tetonmountaineering.com"
Dollar Lake Peak,,North Ridge,A,4000,330,7,2,summerautumn,FALSE,3,,,FALSE,Scramble,From Dollar Pass on Trail 1802 ascend the North Ridge to the summit.,,"Wallowa-Whitman National Forest, Eagle Cap Ranger District, Enterprise OR - 541-426-4978"
Dome Peak,,Dome Glacier,B,7500,280,5.5,2,summerautumn,TRUE,4,upto35,FALSE,TRUE,Snow,A strenuous approach (possible N. Cascades bushwhack) precedes a technically easy climb.  Dome peak is one end of the famous Ptarmigan Traverse.,Climbs in the North Cascades by Nelson and PotterfieldCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,Mt. Baker-Snoqualmie National Forest. Darrington Ranger Station (360) 436-1155
Dragontail Peak,,Triple Couloirs,D,5302,277,4.75,1,springsummer,TRUE,5,over50,TRUE,TRUE,rockandsnow,Triple Couloirs is a classic snow and ice route with possible mixed climbing later in the season. Teams enter from the North face via a hidden couloir and ascend a series of 3 couloirs separated by short steep rock bands. The route cuts up the middle of the north face of Dragontail.,"Cascade Alpine Guide, Volume I, Fred Beckey",
Dragontail Peak,,West Ridge,B,5400,270,5,2,summerautumn,TRUE,3,,FALSE,FALSE,Scramble,"Dragontail Peak, located near the town of Leavenworth in the central Cascades, is the huge sight above Colchuck Lake. ",Climbs in the Cascades Vol. 1 by Nelson and PotterfieldCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,USFS Leavenworth Ranger station: 509-548-6997
Dragontail Peak,,South Route,B,5500,270,5,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,rockandsnow,"Dragontail Peak, located near the town of Leavenworth in the central Cascades, is the huge sight above Colchuck Lake.  Its northwest face is almost a mile wide and 3000 feet high.  The South Route up this coveted peak, with some moderate glacier travel and 3rd class Scramble.  Backcountry permits can be hard to get for this popular (and beautiful) area.  Forest fires are common in this area in the summer - call the USFS before you leave town to be sure the trails are open.","Classic Climbs of the Northwest by Alan KearneyClimbs in the Cascades Vol. 1 by Nelson and PotterfieldCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey, ppg 279-289",USFS Leavenworth Ranger station: 509-548-6997
Dragontail Peak,,East Ridge,B,5400,270,5,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,rockandsnow,"Dragontail Peak, located near the town of Leavenworth in the central Cascades, is the huge sight above Colchuck Lake.  Its northwest face is almost a mile wide and 3000 feet high.  The East Ridge is about the easiest route up this coveted peak, with some moderate glacier travel and 3rd class Scramble.  Backcountry permits can be hard to get for this popular (and beautiful) area.  Forest fires are common in this area in the summer - call the USFS before you leave town to be sure the trails are open.",Classic Climbs of the Northwest by Alan KearneyClimbs in the Cascades Vol. 1 by Nelson and PotterfieldCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,USFS Leavenworth Ranger station: 509-548-6997
Dragontail Peak,,Serpentine Arete,E,5440,270,5,2,summerautumn,TRUE,5,,FALSE,FALSE,Rock,"Dragontail Peak, located near the town of Leavenworth in the central Cascades, is the huge sight above Colchuck Lake.  Its northwest face is almost a mile wide and 3000 feet high.   Serpentine Arete is a classic route on this face, with 2 pitches of 5.8 rock and a LOT of low 5th and 4th class over about 14 pitches.  Backcountry permits can be hard to get for this popular area.  Forest fires are common in this area in the summer - call the USFS before you leave town to be sure the trails are open.",Classic Climbs of the Northwest by Alan KearneyClimbs in the Cascades Vol. 1ÌÄåÎÌÄå__ by Nelson and PotterfieldCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,USFS Leavenworth Ranger station: 509-548-6997
Drake Peak,,Fremont Trail,A,3500,330,6,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"This traverse is the skyline of one of the largest forested areas in Oregon. A sparsely visited range, climbers are guaranteed sweeping vistas of a huge variety of surrounding features while Scramble the chain of peaks. This traverse knocks off 3 of the top 100 highest peaks in Oregon (or 4, depending on which list you reference), as well as the #31st most prominent, Drake Peak. ","75 Scrambles in Oregon, Bond",Lakeview Ranger District: 541-947-3334
Dumbell Mountain,,SW Route,B,5000,250,6,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,Exposed rock scramble in remote location on a seldom climbed peak.  Typically combined with neighbor Greenwood Mountain.,Summit Routes: Washingtons 100 Highest Peaks by Scott Stephenson and Brian BongiovanniCascade Alpine Guide Volume 2 by Fred Beckey,US Forest Service Okanagon / Wenatchee - Lake Wenatchee Ranger District
Eagle Cap,,Glacier Pass,A,4100,330,7,2,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,"This is an easy class 3 scramble route on one of the namesake peak of the Eagle Cap Wilderness and an adjoining peak.  No technical gear is needed.  The Wallowas have been called ""America's Alps"", and have much different scenery than the Cascades many of us are accustomed to climbing/hiking in.  It is an interesting mix of volcanic and granitic rock, with a large amount of alpine area above treeline and dry Ponderosa forests below.  37 of Oregon's 100 highest peaks are in the Wallowas (including 12 out of the top 20), more than any other region.  ",75 Scrambles in Oregon by Barbara Bond 100 Hikes in Eastern Oregon by William Sullivan Hiking Oregons Eagle Cap Wilderness by Fred Barstad,"Wallowa-Whitman National Forest, Eagle Cap Ranger District, Enterprise OR - 541-426-4978"
Eagle Peak,Chutla Peak,Longmire Trail,A,3200,150,2.5,1,springsummer,FALSE,4,,FALSE,FALSE,Scramble,"Located in the Tatoosh range in the southern end of Mt. Rainier Nat. Park, this 2 peak link-up offers a classic alpine scramble.  The round trip hike of about 7 miles starts at Longmire on a well maintained trail rising through beautiful ancient forest, and tops out on a saddle between the  two peaks.  Along with a park entrance fee, all of the Tatoosh peaks offer spectacular views of Mt. Rainier - on clear days.  This is good beginner trip and fairly close to home.  Be prepared for a an exposed scramble on Eagle, and 3rd class tree climbing on the ""Hobbit trail"" of the Chutla Ridge.   ""Tatoosh"" means 'nourishing breast "" in the local Native American language.  To make a more ambitious day out of it, add in neighboring peak Wahpenayo.  In later season, leave the crampons, ice axe, harness and possible rope and helmets home. ",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey75 Scrambles in Washington by Peggy Goldman,"Mt. Rainer NP, Park HQ: 360-569-2211 ext 2334Mt. Rainer NP (after hours) Lewis County S&R: 360-740-1105"
East McCully Basin Peak,,Wing Ridge Saddle,A,3400,350,7,1,summerautumn,FALSE,,,FALSE,FALSE,Scramble,"Ascend Wing Ridge from Trail 1828, head north to saddle and ascend south ridge of East McCully Basin Peak to summit.",,"Wallowa-Whitman National Forest, Eagle Cap Ranger District, Enterprise OR - 541-426-4978"
East Wilmans Spire,,SE Face  ,D,3900,250,7,2,summerautumn,FALSE,5,35to50,TRUE,FALSE,rockandsnow,"In the Monte Cristo Region of the North Cascades, a mountain bike approach is recommended for this peak.  The old town site of Monte Cristo is rich in mining history.  The route is up to 5.4 with 10 feet of down climbing, leading us to a summit the size of a table top.  Plan for a long day with snow and rock on this trip.",Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred BeckeyClimbs in the Cascades Volume 2 by Nelson and Potterfield,Mt. Baker/Snoqualmie National Forest Darrington Ranger DistrictVerlot Public Service Center Saturday-Sunday 8 am - 4:15 pm 360-691-7791
Echo Rock,,Mowich Lake,A,3300,275,5,1,summerautumn,TRUE,3,upto35,FALSE,FALSE,Scramble,from trails.com:,Climbing Washingtons Mountains by Jeff Smoot,"Mt Rainer NP, Park HQ: 360-569-2211 ext 2334"
Eighty Nine Thirteen,,South Ridge,B,5700,440,9,2,summerautumn,FALSE,4,upto35,FALSE,FALSE,rockandsnow,"Access to Peak 8913 starts at the Canyon Creek trail head at the end of Canyon Creek road on the south side of the Trinity Alps Wilderness. Hike north on the trail 6 miles to the fork with the Canyon Creek Boulder Lakes trail. After crossing Canyon Creek, a steep 2 mile hike ends at Boulder Lakes. Just before the lakes near good camping spots, hike NW up the steep slope towards Mt Hilton over (early season-high snow year) manzanita bushes or through the manzanita via a seasonal stream bed (late season-low snow). Leave the stream bed at around 1960 meters and hike 1/2 mile N on a rising traverse to 2200 meters. Cross a narrow ridge (possible camping sites), and hike another 1/2 mile while remaining on a 2200 meter contour until reaching another ridge line (Hilton Arete). Hike about 3/4 mile NW over permanent snow to a low spot on the ridge line at around 2500 meters (Grey rock Pass). Peak 8913 is the peak to the north. Topo maps suggest that a scramble ascent via the south ridge is possible. Descend the ascent route. The approach takes 2 days. The climb requires at least 3 night out. An ascent of Mt Hilton is possible as a side trip on the approach to peak 8913.",,"Weaverville Ranger Station 360 Main St. Weaverville, CA 530-623-2121 Trinity County Sheriffs Office 530-623-3740"
Eldorado Peak,,NE Face,D,6800,310,6,2,summerautumn,TRUE,,over50,TRUE,TRUE,Snow,"El Dorado Peak is one of the ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå¢great mountains in the North CascadesÌÄåÎÌÄå__ (Beckey), especially its much photographed sharp-edged summit ridge.  Our goal is to find a nice ice/steep snow route up the seldom-climbed NE Face.  The approach can be . . . interesting.  See BeckeysCascade Alpine Guide for a more detailed look at this areas geologic and climbing history.",Climbs in the Cascades Vol. 1 by Nelson and PotterfieldCascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,Marblemount NPS Ranger Station 360-873-4590
Eldorado Peak,,Eldorado Glacier/East Ridge,B,6700,310,6,2,summerautumn,TRUE,,upto35,FALSE,TRUE,Snow,"One of the most popularClimbs in the North Cascades, Eldorado has a challenging approach hike with exceptional scenery.  Endurance for getting to the peak is more of a requirement than technical climbing skill.  The knife-edged summit ridge is a classic of many photos - see below.","Climbs in the Cascades Vol. 1 by Nelson and Potterfield,Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey",Marblemount NPS Ranger Station 360-873-4590
Elkhorn Peak (Wallowas),,NE Ridge,A,3600,350,7,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"This is the Elkhorn Peak of the Wallowas, not in the Blue mountains farther south.  ",,unknown
Enchantment Peak,,East Ridge,A,4900,270,5,2,summerautumn,TRUE,4,upto35,FALSE,FALSE,Scramble,"The Enchantment Basin, nestled in the midst of the Cashmere Crags, exhibits countless granitic outcrops and pinnacles. Described as ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄåÎÌÄå¢tall, threatening spires that streak skyward like Dantesque flamesÌÄåÎÌÄå__, the area is singularly scenic, and a scramblers paradise.   This a 3rd class scramble route with minimal technical requirements -  rather rare for this region.",75 Scrambles in Washington by Peggy GoldmanCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,USFS Leavenworth Ranger station 509-548-6997
Fay Peak,Mt. Pleasant,Knapsack Pass,A,,275,5,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,This pair of walk up peaks are in the NW corner of Mt. Rainier Nat Park.,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,unknown
Fields Peak,Moore Mountain,McClellan Trailhead,A,2500,250,7,1,summerautumn,FALSE,,,FALSE,FALSE,Scramble,These are the Aldrich Mountains and are a subset of the Blue Mountains. The route is an easy walk up peaks along a long ridge.,,"USFS Prairie City Ranger District Prairie City, OR 541-820-3311"
Fifes Peak (West),,Crow Lake Trail,A,3500,168,0.5,1,springsummer,FALSE,3,,FALSE,FALSE,Scramble,46.97123ÌÄåÎÌÄå_ÌÄå´ÌâåN / 121.32202ÌÄåÎÌÄå_ÌÄå´ÌâåW,Cascade Alpine Guide: 1: Columbia River to Stevens Pass by Fred Beckey,"Naches Ranger District510 Highway 12Naches, WA 98937(509) 653-2205"
